2026-01-21T04:10:07.032499+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T04:10:07.032671+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T04:10:07.032739+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T04:10:07.032791+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T04:10:07.033319+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:10:07.033643+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:10:07.033754+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:10:07.033814+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
2026-01-21T04:10:07.033862+0000 | INFO | __main__:run:46 | ✅ Запуск бота
2026-01-21T04:16:42.278441+0000 | INFO | command_handlers:test_command:52 | test command
2026-01-21T06:16:18.447079+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T06:16:18.454926+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T06:16:18.455087+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T06:16:18.738069+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T06:16:18.738227+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T06:16:18.738291+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T06:16:18.738338+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T06:16:18.738959+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T06:16:18.739088+0000 | INFO | __main__:initialize:46 | ✅ Все компоненты инициализированы
2026-01-21T06:16:18.739147+0000 | INFO | __main__:run:59 | ✅ Запуск бота
2026-01-21T06:17:06.840286+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T06:17:06.848000+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T06:17:06.848173+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T06:17:07.080244+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T06:17:07.080552+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T06:17:07.080736+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T06:17:07.080883+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T06:17:07.082633+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
